Title,year,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
"Truth About Emanuel, The",2013,Francesca Gregorini,"Francesca Gregorini, Sarah Thorp",1838520,3,0.0,2014,2010,Not Rated,9622,6.0,"Drama, Thriller"
Why Stop Now?,2012,"Phil Dorling, Ron Nyswaner","Phil Dorling, Ron Nyswaner",1853643,3,0.0,2017,2010,R,7562,5.5,"Comedy, Drama"
Den skaldede frisor,2012,Susanne Bier,"Anders Thomas Jensen, Susanne Bier",1854236,3,0.0,2013,2010,R,14667,6.5,"Comedy, Drama, Romance"
Kiss Me,2011,Alexandra-Therese Keining,"Alexandra-Therese Keining, Josefine Tengblad",1859522,3,0.0,2014,2010,Not Rated,11646,6.8,Drama
Safety Not Guaranteed,2012,Colin Trevorrow,Derek Connolly,1862079,3,0.0,2012,2010,R,129634,6.9,"Adventure, Comedy, Drama"
Catch Me... I&#39;m in Love,2011,Mae Czarina Cruz,Mel Mendoza-Del Rosario,1862457,1,1.0,2020,2010,N/A,179,5.9,"Comedy, Drama, Romance"
"Time in Between, The",2013,N/A,N/A,1864750,1,0.0,2017,2010,N/A,4501,8.3,"Adventure, Drama, History"
Gosick,2011,N/A,N/A,1872328,3,1.0,2017,2010,TV-MA,1441,7.3,"Animation, Comedy, Drama"
Michael,2011,"Markus Schleinzer, Kathrin Resetarits",Markus Schleinzer,1906426,2,0.0,2012,2010,Not Rated,5046,6.9,"Drama, Thriller"
Penguins of Madagascar,2014,"Eric Darnell, Simon J. Smith","Michael Colton, John Aboud, Brandon Sawyer",1911658,0,1.0,2014,2010,PG,98787,6.6,"Animation, Action, Adventure"
